Referencia;Nombre_jugador;Equipo;Posición;Edad ;Salario;Posicion;Rango_edad
70;Joe Harris; BKN;SG ;31 ;18642857;Escolta;4
71;Domantas Sabonis; SAC;PF ;26 ;18500000;ala;2
72;Harrison Barnes; SAC;SF ;30 ;18352273;Alero;3
73;Clint Capela; ATL;C ;28 ;18206897;pivot;3
74;Evan Fournier; NYK;SG ;30 ;18000000;Escolta;3
75;Myles Turner; IND;C ;26 ;18000000;pivot;2
76;Bogdan Bogdanovic; ATL;SG ;30 ;18000000;Escolta;3
77;Steven Adams; MEM;C ;29 ;17926829;pivot;3
78;Gary Trent Jr.; TOR;SG ;24 ;17505000;Escolta;2
79;Jonathan Isaac; ORL;PF ;25 ;17400000;ala;2
80;OG Anunoby; TOR;SF ;25 ;17357143;Alero;2
81;Marcus Smart; BOS;PG ;28 ;17207142;Base;3
82;Mitchell Robinson; NYK;C ;24 ;17045454;pivot;2
83;Duncan Robinson; MIA;SF ;28 ;16902000;Alero;3
84;Derrick White; BOS;PG ;28 ;16892857;Base;3
85;Norman Powell; LAC;SG ;29 ;16758621;Escolta;3
86;Dejounte Murray; ATL;PG ;26 ;16571120;Base;2
87;Markelle Fultz; ORL;PG ;24 ;16500000;Base;2
88;Lauri Markkanen; CLE;PF ;25 ;16475454;ala;2
89;Marcus Morris Sr.; LAC;SF ;33 ;16372093;Alero;4
90;Davis Bertans; DAL;SF ;30 ;16000000;Alero;3
91;Jusuf Nurkic; POR;C ;28 ;15625000;pivot;3
92;Malik Beasley; UTH;SG ;26 ;15558035;Escolta;2
93;Luguentz Dort; OKC;SG ;23 ;15277778;Escolta;2
94;Tyus Jones; MEM;PG ;26 ;15000000;Base;2
95;Jonas Valanciunas; NOP;C ;30 ;14700000;pivot;3
